username,content,timestamp
leyaourtnature,ces ##t pra ##g ##matique isra ##el nes ##t menace france lira ##n finance groupes terror ##istes oui,2025-06-17T11:53:14.256665
biuemoon___,isra ##el tap ##e pleure a retour rec ##olte ##nt quil ##s sem ##e,2025-06-17T11:53:14.731298
falwoufr,guerre poursuite lac ##tiv ##ite politique dau ##tres moyens,2025-06-17T11:53:16.355790
rydars,laisser lar ##me nu ##cle ##aire a et ##at is ##lam ##ique repr ##ese ##nte ##til dangereux pays occident ##aux occident ##alis ##es sachant depuis annee ##s 80 gouvernements occident ##aux empe ##che lira ##n dy avoir acces,2025-06-17T11:53:18.090853
lupa_612,laisse amis bon liv ##e a tous tous autres a tres vite sam ##uel ##ed ##ark,2025-06-17T11:53:23.139209
sinrok972,dou ##vr ##ir voie usa voil ##a lo ##b ##jec ##tif,2025-06-17T11:53:32.093912
prof_intern,ah oui france inter gen ##ial ##e soph ##ia ara ##m ces ##t gauche univers ##ali ##te ja ##vais oublie heureusement quil ny a purg ##e rece ##mment,2025-06-17T11:53:36.002298
ptitejaja,sait confirmer ca a ete dit plus quelqu ##un repr ##ese ##nte effectivement g ##vt iran ##ien sources,2025-06-17T11:53:37.734152
lordsuperzob3000,coupe ##nt vivres ha ##mas a source,2025-06-17T11:53:38.244551
sugarfr0g,salut bon app,2025-06-17T11:53:38.389889
rommytek6,merci ##i bonne journ ##ee a,2025-06-17T11:53:41.513933
sdfljsgrljfslk,bonne apr ##em,2025-06-17T11:53:43.383688
runcyterr,ces ##t et ##at criminels attaque et ##at violent voil ##a tout ca diminue ni cru ##aute lun ni lau ##tre,2025-06-17T11:53:43.569929
moulbitt,a prochaine sam ##uel ##ed ##ragon ort ##of ##ist ##bu ##mp,2025-06-17T11:53:45.285575
xelfuego,ni isra ##el ni lira ##n devraient avoir nu ##cle ##aire,2025-06-17T11:53:46.619075
bapthard,insin ##ue france 2 juste bien centr ##iste im ##o nes ##t cas ces ##t plut ##ot centre ##ga ##uche,2025-06-17T11:53:46.883977
smhashhh,no ##oo ##oo ##onn,2025-06-17T11:53:49.006279
erycite_,des ##ole j ##y connais rien projet nu ##cle ##aire iran ##ien ces ##t uniquement lar ##me nu ##cle ##aire ces ##t aussi ##s ##urt ##out centrales,2025-06-17T11:53:51.303822
cyrille8574,reg ##ime mots iran ces ##t reg ##ime log ##ocra ##tique the ##ocra ##tique k ##app ##a,2025-06-17T11:53:54.785156
lupa_612,meme sam ##uel ##ea ##lat ##ienne,2025-06-17T11:53:55.561020
m_e_p_h,question tres bet ##e comment bombardement ##s peuvent frein ##er progression lac ##quis ##ition lar ##me nu ##cle ##aire suppose cherche ##urs tous bu ##n ##ker non,2025-06-17T11:54:01.526044
lupa_612,sam ##uel ##ec ##oe ##ur,2025-06-17T11:54:01.608583
tinkou__,peux remplacer is ##lam ##ique total ##itaire ca marche encore mieux,2025-06-17T11:54:02.608175
theoriginalpimousse_,sam ##uel ##ed ##ark,2025-06-17T11:54:03.593602
lepilierdebar,er ##yc ##ite lar ##me,2025-06-17T11:54:03.882823
kine22,lira ##n na til dej ##a lar ##me nu ##cle ##aire,2025-06-17T11:54:06.934180
lupa_612,sam ##uel ##ec ##oe ##ur,2025-06-17T11:54:07.686140
nightbot,meilleurs cli ##ps ti ##kt ##ok ti ##kt ##ok ##com,2025-06-17T11:54:07.838020
tsukaaaa,passage ces ##t assez dro ##le pays poss ##ed ##ent bombe nu ##cle ##aire veulent autres poss ##ed ##e meme ces ##t o ##k,2025-06-17T11:54:08.391460
ptitejaja,ah oui carre ##ment ha ##ha si dis,2025-06-17T11:54:09.965595
clamakinisback,centrale nu ##cle ##aire to bombe nu ##cle ##aire,2025-06-17T11:54:10.831484
john33fr,ces ##t ev ##ide ##mment de ##bar ##asser dun oppos ##ant politique comme 4 autres et ##ats quis ##rae ##l a attaque,2025-06-17T11:54:11.971582
oloooks1,md ##r lira ##n plus civil ##ise communion meilleure fait bon a vivre avant det ##re pays is ##lam ##ique ces ##t pays,2025-06-17T11:54:12.188889
gm_graham,depuis 197 ##3 re ##ali ##te,2025-06-17T11:54:14.404626
saint_l0up,depuis revol ##ution 79 plut ##ot,2025-06-17T11:54:16.452902
huttopie,pays occident ##aux non car aussi bombe pays arabes oui donc laisser avoir bombe a lira ##n ces ##t aussi laisser prol ##ife ##rer bombe toute reg ##ion,2025-06-17T11:54:16.633134
falwoufr,guerre poursuite lac ##tiv ##ite politique dau ##tres moyens,2025-06-17T11:54:17.774765
apsilon999,dal ##lie sous reg ##ime sh ##ah a ennemie sous reg ##ile mol ##la ##hs,2025-06-17T11:54:18.669510
tutor_hcz,o ##k o ##k,2025-06-17T11:54:18.695176
biuemoon___,lira ##n rend monnaie pie ##ce a isra ##el gens osent etre cho ##ques ces ##t def ##ense ferme ##z dej ##a assez yeux gaz ##a,2025-06-17T11:54:18.961001
lupa_612,sam ##uel ##ed ##ark sam ##uel ##eh ##app ##y,2025-06-17T11:54:21.225719
sdfljsgrljfslk,officiellement centrales toujours soup ##con ##ne faire bombes secret,2025-06-17T11:54:22.125152
